Entry,OR_num,Labcode,Labcode_cmt,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context name,Context,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,Reference,Remark
1,OR1,SNU99-016,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,,,,,,,3300,130,Bae_et_al_2013,LC?,,,
2,OR2,SNU99-017,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,,,,,,,3990,60,Bae_et_al_2013,LC?,,,
3,OR3,UCL-235,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,B-1 Shell mound 12th layer,,shell,,-25,,4150,250,Bae_et_al_2013,LC?,,한양대박물관 1993:195-199,
4,OR4,UCL-233,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,B-1 Shell mound 6th layer,,shell,,-25,,3200,200,Bae_et_al_2013,LC?,,한양대박물관 1993:195-199,
5,OR5,UCL-237,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,A-2 shell mound 5th layer,,shell,,-25,,3150,200,Bae_et_al_2013,LC?,,한양대박물관 1993:195-199,
6,OR6,KCP-156,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,B-3 shell mound,,shell,,-25,,3130,60,Bae_et_al_2013,LC?,,한양대박물관 1994:270-272,
7,OR7,SNU99-128,,오이도 중간살막 패총,,,Junggan-salmak-Oido,,1,,37.34549,126.694897,HK,,,경기,시흥,,,N2E1 bottom ground,,charcoal,,-23.5,,4270,60,Bae_et_al_2013,EC,중서부지역 편년상 전기,서울대박물관 2001:100,
8,OR8,SNU00-143,,오이도 중간살막 패총,,,Junggan-salmak-Oido,,1,,37.34549,126.694897,HK,,,경기,시흥,,,fire place No. 1,,charcoal,,-21,,4790,80,Bae_et_al_2013,EC,,서울대박물관 2001:100,
9,OR9,SNU00-44-1,,대평리 옥방,,,Okbang-Daepyeong,,1,,35.22079,127.95937,HK,,,경남,진주,,,Dongi 1,,charcoal,,,,3280,50,Bae_et_al_2013,LC,,,
10,OR10,SNU00-45-2,,대평리 옥방,,,Okbang-Daepyeong,,1,,35.22079,127.95937,HK,,,경남,진주,,,Dongi,,charcoal,,,,4470,40,Bae_et_al_2013,LC,,,
11,OR11,SNU00-048,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,진주 상촌리 1호 지석묘및 토기산포지역 61호 수형구덩이,,charcoal,,-19.8,,4290,30,Bae_et_al_2013,,봉계리식토기,동의대박물관 2002:161-162,
