Entry,Labcode,Labcode_cmt,Labcode_cmt2,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context,Context2,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,seed_association,seed_cmt,coast_manual,Reference,Remark
3,UCL-235,,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,B-1 패총 12층,,shell,,,,4150,250,Jul 2020 (Kim),LC?,,,,,"고남리패총 3,4차 보고서 한양대학교박물관 1993",
4,UCL-233,,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,B-1 패총 6층,,shell,,,,3200,200,Jul 2020 (Kim),LC?,,,,,"고남리패총 3,4차 보고서 한양대학교박물관 1993",
5,UCL-237,,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,A-2패총 5층,,shell,,,,3150,200,Jul 2020 (Kim),LC?,,,,,"고남리패총 3,4차 보고서 한양대학교박물관 1993",
6,KCP-156,,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,94 고남 AWB,B-3 shell mound,shell,,,,3130,60,Jul 2020 (Kim),LC?,,,,,고남리패총 7차 보고서 한양대학교박물관 1997,Context comment is quoted from Bae et al 2013.
8,SNU00-143,,,오이도 중간살막 패총,,,Junggan-salmak-Oido,,1,,37.34549,126.694897,HK,,,경기,시흥,,outdoor hearth,1호 노지,,charcoal,,-21,,4790,80,Apr_2017 (So),EC,,,,,서울대박물관 2001:100,
12,SNU00-137,,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,house,주거지,벽면,charcoal,,-20,,4270,60,Apr_2017 (So),,,,,,서울대박물관 2001:100,
13,SNU00-138,,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,house,주거지,주공,charcoal,,-22,,4790,80,Apr_2017 (So),,,,,,서울대박물관 2001:100,
14,SNU00-139,,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,house,주거지,바닥,charcoal,,-29,,4480,30,Apr_2017 (So),,,,,,서울대박물관 2001:100,
25,SNU00-390,,,세죽리,,,Sejukri,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,C1PitⅢ-3a층(DK14),,charcoal (annual),acorn,-27.5,,5930,110,Apr_2017 (So),IC,,,,,김종찬외2002 : 202,
31,SNU00-403,,,세죽리,,,Sejukri,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B3PitⅢ-2b하층 (DK11, 융대문)",,charcoal,,-23.2,,6740,30,Apr_2017 (So),IC,,,,,김종찬외2002 : 202,
32,SNU00-403-1,,,세죽리,,,Sejukri,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B3PitⅢ-2b하층 (DK11, 융대문)",,charcoal,,-23.2,,6440,90,Apr_2017 (So),IC,,,,,김종찬외2002 : 202,
34,SNU00-48,,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,pit,61호수혈,,charcoal,,-19.8,,4290,30,Jul 2020 (Kim),,,,,,상촌리 동의대박물관 2002:161-162,
36,SNU01-303,,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,pit,5-1호 저장혈,,charcoal (annual),acorn,-19.34,,4150,60,Jul 2020 (Kim),LC,봉계리식토기,,,,상촌리 동아대학교 2001,
37,SNU01-376,,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,house,22호주거지,,charcoal (annual),walnut,-35.7,,4030,40,Jul 2020 (Kim),LC,봉계리식토기,,,,상촌리 동아대학교 2001,
38,SNU01-377,,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,ditch,6-1호 구상유구,,charcoal (annual),acorn,-26.1,,4150,30,Jul 2020 (Kim),LC,,,,,상촌리 동아대학교 2001,
44,SNU00-244,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 A 패층,,shell,,,,4380,40,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
45,SNU00-245,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 B 패층,,shell,,,,3930,40,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,uncal bp 3930 according to SO
46,KCP-128,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,가지구  c2 pit (북벽 표토하 100cm 회색순패층),,shell,,,,5180,70,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
47,KCP-238,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,"가지구 B4-II, C4-I 사이둑 회갈색순패층(패각최하층)",,shell,,,,5046,63,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
48,KCP-240,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,"가지구 C1-II, C2-I 사이둑 회갈색순패층",,shell,,,,4976,60,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
49,KCP-237,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,가지구 c4-II (패각층 바닥면 흑갈색부식토층),,shell,,,,4541,60,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
50,KCP-239,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,"가지구 C2-II, C3-I 사이둑 회갈색순패층",,shell,,,,4090,58,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
51,NUTA2-1993,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 A 패층,,shell,,,,4245,25,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
52,NUTA2-1994,,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 B 패층,,shell,,,,3895,25,Jul 2020 (Kim),,,,,,원광대박물관 2002(Ⅰ):369-371,
