Depth,Material,LabCode,Delta14,CRA,CRAError,Oulier,Curve,DeltaRUsed,PossibleDeltaR,PossibleDeltaR
487,Shell (Potamocorbula sp.),KGM-OCa150061,,370,30,,Marine20,0,-213,109
584,Shell (Potamocorbula sp.),BETA-447816,,1160,30,,Marine20,0,-213,109
684,Bulk sediments,BETA-447818,−25.4,1980,30,,Marine20,0,-213,109
750,Bulk sediments,BETA-447819,−23.8,2640,30,,Marine20,0,-213,109
831,Shell (Lacuna sp.),KGM-OCa150062,,1990,30,TRUE,Marine20,0,-213,109
871,Shell (Lacuna sp.),BETA-447817,,1910,30,TRUE,Marine20,0,-213,109
891,Bulk sediments,BETA-457776,−24.0,2750,30,,Marine20,0,-213,109
931,Bulk sediments,BETA-457777,−24.5,3700,30,,Marine20,0,-213,109
970,Bulk sediments,BETA-447820,−24.5,3600,30,,Marine20,0,-213,109
1051,Bulk sediments,BETA-457779,−26.7,2760,30,,Marine20,0,-213,109
1105,Bulk sediments,BETA-447821,−25.3,6440,30,,Marine20,0,-213,109
1111,Bulk sediments,BETA-457778,−25.1,5040,30,,Marine20,0,-213,109
1184,Wood fragments,KGM-OWd150387,−27.3,5880,40,,IntCal20,0,-213,109
1184,Bulk sediments,BETA-449188,−26.3,6230,30,,Marine20,0,-213,109
