age (yr BP),labcode (),depth_top (cm),depth_bottom (cm),mat_dated (),c14_date (RC yr BP),c14_1s_err (RC yr BP),delta_r (),delta_r_original (),delta_r_1s_error (),delta_r_1s_error_original (),other_date (),other_1s_err (),other_type (),age_type (unitless)
Rh0fkWeRCeq,T2L_SSDP_102_labcode,T2L_SSDP_102_depth_top,T2L_SSDP_102_depth_bottom,T2L_SSDP_102_mat_dated,T2L_SSDP_102_c14_date,T2L_SSDP_102_c14_1s_err,T2L_SSDP_102_delta_r,T2L_SSDP_102_delta_r_original,T2L_SSDP_102_delta_r_1s_error,T2L_SSDP_102_delta_r_1s_error_original,T2L_SSDP_102_other_date,T2L_SSDP_102_other_1s_err,T2L_SSDP_102_other_type,R44zUwDNw3l
682,KIA 19445,47,NA,Bulk benthic foraminifera,682,60,-37.6,0,84.242,NA,NA,NA,NA,age14C
2090,KIA 19446,305,NA,Bulk benthic foraminifera,2090,25,-37.6,0,84.242,NA,NA,NA,NA,age14C
1885,KIA 14913,412,NA,Bulk benthic foraminifera,1885,35,-37.6,0,84.242,NA,NA,NA,NA,age14C
2630,KIA 19447,509,NA,Bulk benthic foraminifera,2630,20,-37.6,0,84.242,NA,NA,NA,NA,age14C
4830,KIA 19448,1050,NA,Bulk benthic foraminifera,4830,50,-37.6,0,84.242,NA,NA,NA,NA,age14C
4990,KIA 19449,1125,NA,Bulk benthic foraminifera,4990,30,-37.6,0,84.242,NA,NA,NA,NA,age14C
5715,NZA10040,1405,NA,Lenticulina calcar (Linne),5715,81,-37.6,0,84.242,NA,NA,NA,NA,age14C
7610,NZA10041,1623,NA,Bulk benthic foraminifera,7610,55,-37.6,0,84.242,NA,NA,NA,NA,age14C
10858,NZA10042,2293,NA,Bulk benthic foraminifera,10858,80,-37.6,0,84.242,NA,NA,NA,NA,age14C
11474,NZA10757,2310,NA,Peaty Sediment,11474,60,-37.6,0,84.242,NA,NA,NA,NA,age14C
