Entry,Labcode,site_name_kor,site_name_eng,Lat,Long,Context,Material,Material_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,seed_association,coast_manual
3,UCL-235,고남리 패총,Gonamri,36.42001,126.409866,strat,shell,,,,4150,250,,
4,UCL-233,고남리 패총,Gonamri,36.42001,126.409866,strat,shell,,,,3200,200,,
5,UCL-237,고남리 패총,Gonamri,36.42001,126.409866,strat,shell,,,,3150,200,,
6,KCP-156,고남리 패총,Gonamri,36.42001,126.409866,strat,shell,,,,3130,60,,
8,SNU00-143,오이도 중간살막 패총,Junggan-salmak-Oido,37.34549,126.694897,outdoor hearth,charcoal,,-21,,4790,80,,
12,SNU00-137,는들,Nendul,37.48574,126.49186,house,charcoal,,-20,,4270,60,,
13,SNU00-138,는들,Nendul,37.48574,126.49186,house,charcoal,,-22,,4790,80,,
14,SNU00-139,는들,Nendul,37.48574,126.49186,house,charcoal,,-29,,4480,30,,
25,SNU00-390,세죽리,Sejukri,35.45971,129.357806,pit,charcoal (annual),acorn,-27.5,,5930,110,,
31,SNU00-403,세죽리,Sejukri,35.45971,129.357806,pit,charcoal,,-23.2,,6740,30,,
32,SNU00-403-1,세죽리,Sejukri,35.45971,129.357806,pit,charcoal,,-23.2,,6440,90,,
34,SNU00-48,상촌리,Sangchonri-Daepyeong,35.21863,127.969302,pit,charcoal,,-19.8,,4290,30,,
36,SNU01-303,상촌리,Sangchonri-Daepyeong,35.21863,127.969302,pit,charcoal (annual),acorn,-19.34,,4150,60,,
37,SNU01-376,상촌리,Sangchonri-Daepyeong,35.21863,127.969302,house,charcoal (annual),walnut,-35.7,,4030,40,,
38,SNU01-377,상촌리,Sangchonri-Daepyeong,35.21863,127.969302,ditch,charcoal (annual),acorn,-26.1,,4150,30,,
44,SNU00-244,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,4380,40,,
45,SNU00-245,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,3930,40,,
46,KCP-128,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,5180,70,,
47,KCP-238,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,5046,63,,
48,KCP-240,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,4976,60,,
49,KCP-237,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,4541,60,,
50,KCP-239,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,4090,58,,
51,NUTA2-1993,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,4245,25,,
52,NUTA2-1994,노래섬 패총,Noraeseom,35.941432,126.544383,strat,shell,,,,3895,25,,
53,SNU01-027,진그늘,Jingueneul,35.886225,127.472179,acorn accumulation,charcoal (annual),acorn,,,4500,300,,
54,SNU01-131,갈머리,Galmeori,35.878166,127.470977,stone accumulation,charcoal,,-22.8,,3760,80,,
55,SNU01-132,갈머리,Galmeori,35.878166,127.470977,house,charcoal,,-22.73,,4510,40,,
56,SNU01-133,갈머리,Galmeori,35.878166,127.470977,house,charcoal,,-24.02,,4560,40,,
57,SNU01-134,갈머리,Galmeori,35.878166,127.470977,pit,charcoal,,-28.5,,4470,40,,
58,SNU01-135,갈머리,Galmeori,35.878166,127.470977,stone accumulation,charcoal,,-20.2,,4050,40,,
59,SNU01-136,갈머리,Galmeori,35.878166,127.470977,pit,charcoal,,-18,,4510,80,,
60,SNU01-137,갈머리,Galmeori,35.878166,127.470977,house,charcoal,,-18.72,,4650,30,,
61,SNU01-138,갈머리,Galmeori,35.878166,127.470977,house,charcoal (annual),acorn,-18.54,,4700,80,,
62,SNU01-139,갈머리,Galmeori,35.878166,127.470977,pit,charcoal,,-21.5,,4200,100,,
63,SNU01-140,갈머리,Galmeori,35.878166,127.470977,pit,charcoal,,-28.9,,4460,90,,
64,SNU01-141,갈머리,Galmeori,35.878166,127.470977,house,charcoal,,-24.8,,4540,80,,
87,SNU01-144,동삼동 정화지역,Dongsamdong,35.07093,129.079771,house,charcoal,,-26.6,,4360,60,FM BM G,
93,SNU01-150,동삼동 정화지역,Dongsamdong,35.07093,129.079771,strat,charcoal,,-22.6,,3910,40,,
106,SNU01-163,동삼동 정화지역,Dongsamdong,35.07093,129.079771,strat,charcoal,,-24.5,,5910,50,,
116,SNU01-182,진그늘,jingueneul,35.886225,127.472179,stone accumulation,charcoal,,,,4040,100,,
117,SNU01-183,진그늘,jingueneul,35.886225,127.472179,ditch,charcoal,,,,4500,120,,
