Depth,AP_TP_Ratio
100,0.3700441
140,0.1888889
180,0.28125
220,0.4763407
260,0.6214511
300,0.6291793
320,0.6029851
340,0.6965944
350,0.761194
380,0.7739938
400,0.8306709
420,0.8766234
440,0.8012618
460,0.8685897
480,0.8639241
500,0.8987342
520,0.888535
540,0.8412698
560,0.8375
580,0.7439024
600,0.7663551
610,0.8424437
620,0.8630573
630,0.8566879
640,0.8349206
650,0.83125
660,0.8445122
670,0.8498403
680,0.8679245
690,0.8089172
700,0.866242
720,0.8867314
740,0.9283388
742,0.8990536
747,0.8906752
750,0.8817891
752,0.9090909
757,0.8108974
760,0.8840125
762,0.9003215
767,0.8697068
770,0.7961783
772,0.8917197
777,0.8934169
780,0.9003215
782,0.9
787,0.8806452
790,0.9
792,0.8598726
797,0.8312883
801,0.8553055
802,0.8349515
804,0.8608414
807,0.8407643
810,0.8660287
812,0.8481013
817,0.8360129
820,0.9243421
822,0.884375
827,0.8580442
830,0.8734177
832,0.866242
837,0.853125
840,0.8821656
842,0.85
847,0.853125
850,0.9158576
852,0.846395
857,0.9188312
860,0.9223301
862,0.8427673
867,0.9158576
870,0.9123377
872,0.8825397
877,0.9025157
880,0.8603175
882,0.8571429
887,0.8213166
890,0.8857143
892,0.9022082
893,0.8938907
894,0.9196141
895,0.9171975
896,0.8842444
897,0.8734568
898,0.8962264
900,0.9123377
902,0.8777429
903,0.8980892
904,0.9126214
905,0.8888889
906,0.8895899
907,0.9087948
908,0.8964401
909,0.8702532
910,0.9126214
911,0.9102564
912,0.9079365
913,0.8639241
914,0.888535
915,0.9372937
916,0.9180328
920,0.8710692
930,0.8967742
940,0.903537
950,0.8694268
960,0.9248366
970,0.8990228
980,0.9415584
990,0.8896104
1000,0.9150327
1020,0.8974359
1040,0.9480519
1060,0.8952381
1080,0.8694268
1100,0.8810289
1140,0.9041534
1160,0.9292605
1180,0.9348534
1200,0.8814103
1220,0.9102564
1240,0.846395
1260,0.8571429
1280,0.9070513
1300,0.8471338
1320,0.871875
1340,0.8814103
1360,0.8435583
1380,0.9126214
1400,0.8652038
1410,0.8548387
1420,0.8685897
1450,0.8429487
1480,0.8566775
1500,0.8834951
1520,0.8634921
1540,0.8806452
1560,0.888535
1580,0.8745981
1600,0.8977636
1620,0.8621795
1640,0.8375796
1680,0.8685897
1700,0.9012739
1720,0.9131833
1740,0.9015873
1760,0.8962264
1780,0.8375796
1820,0.9099678
1880,0.8738462
1920,0.9140127
1980,0.8607595
2080,0.8422713
2120,0.8757764
2180,0.8899676
2380,0.8539683
2400,0.8360129
2420,0.8216561
2460,0.7699681
2480,0.7721519
2520,0.8012422
2560,0.8132911
2580,0.8832808
2600,0.8
2620,0.8548387
2660,0.8095238
2680,0.8063492
2720,0.7665615
2740,0.8121019
2760,0.7197452
2780,0.7569231
2800,0.816129
2840,0.775
2860,0.7635783
2880,0.8338762
2900,0.8241042
