"labcode","site","latitude","longitude","deltaC13","c14age","c14error","material","coastM","sitename","SiteID"
"SNU00-143","오이도 중간살막 패총",37.34549,126.694897,-21,4790,80,"charcoal",NA,"Junggan-salmak-Oido",1
"SNU00-137","는들",37.48574,126.49186,-20,4270,60,"charcoal",NA,"Nendul",2
"SNU00-138","는들",37.48574,126.49186,-22,4790,80,"charcoal",NA,"Nendul",2
"SNU00-139","는들",37.48574,126.49186,-29,4480,30,"charcoal",NA,"Nendul",2
"SNU00-390","세죽리",35.45971,129.357806,-27.5,5930,110,"charcoal (annual)",NA,"Sejukri",3
"SNU00-48","상촌리",35.21863,127.969302,-19.8,4290,30,"charcoal",NA,"Sangchonri-Daepyeong",4
"SNU01-303","상촌리",35.21863,127.969302,-19.34,4150,60,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"SNU01-376","상촌리",35.21863,127.969302,-35.7,4030,40,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"SNU01-377","상촌리",35.21863,127.969302,-26.1,4150,30,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"SNU01-027","진그늘",35.886225,127.472179,NA,4500,300,"charcoal (annual)",NA,"Jingueneul",5
"SNU01-131","갈머리",35.878166,127.470977,-22.8,3760,80,"charcoal",NA,"Galmeori",6
"SNU01-132","갈머리",35.878166,127.470977,-22.73,4510,40,"charcoal",NA,"Galmeori",6
"SNU01-133","갈머리",35.878166,127.470977,-24.02,4560,40,"charcoal",NA,"Galmeori",6
"SNU01-134","갈머리",35.878166,127.470977,-28.5,4470,40,"charcoal",NA,"Galmeori",6
"SNU01-135","갈머리",35.878166,127.470977,-20.2,4050,40,"charcoal",NA,"Galmeori",6
"SNU01-136","갈머리",35.878166,127.470977,-18,4510,80,"charcoal",NA,"Galmeori",6
"SNU01-137","갈머리",35.878166,127.470977,-18.72,4650,30,"charcoal",NA,"Galmeori",6
"SNU01-138","갈머리",35.878166,127.470977,-18.54,4700,80,"charcoal (annual)",NA,"Galmeori",6
"SNU01-139","갈머리",35.878166,127.470977,-21.5,4200,100,"charcoal",NA,"Galmeori",6
"SNU01-140","갈머리",35.878166,127.470977,-28.9,4460,90,"charcoal",NA,"Galmeori",6
"SNU01-141","갈머리",35.878166,127.470977,-24.8,4540,80,"charcoal",NA,"Galmeori",6
"SNU01-144","동삼동 정화지역",35.07093,129.079771,-26.6,4360,60,"charcoal",NA,"Dongsamdong",7
"SNU01-150","동삼동 정화지역",35.07093,129.079771,-22.6,3910,40,"charcoal",NA,"Dongsamdong",7
"SNU01-163","동삼동 정화지역",35.07093,129.079771,-24.5,5910,50,"charcoal",NA,"Dongsamdong",7
"SNU01-182","진그늘",35.886225,127.472179,NA,4040,100,"charcoal",NA,"jingueneul",8
"SNU01-183","진그늘",35.886225,127.472179,NA,4500,120,"charcoal",NA,"jingueneul",8
