Entry,OR_num,Labcode,Labcode_cmt,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context,Context2,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,seed_association,seed_cmt,Reference,Remark,dist_to_coast
1,OR1,SNU99-016,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,,,,,,,3300,130,Bae_et_al_2013,LC?,,,,,1~8차 보고서에 해당연대 없음,663.01215456
2,OR2,SNU99-017,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,,,,,,,,3990,60,Bae_et_al_2013,LC?,,,,,1~8차 보고서에 해당연대 없음,663.01215456
3,OR3,UCL-235,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,B-1 Shell mound 12th layer,,shell,,-25,,4150,250,Bae_et_al_2013,LC?,,,,한양대박물관 1993:195-199,,663.01215456
4,OR4,UCL-233,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,B-1 Shell mound 6th layer,,shell,,-25,,3200,200,Bae_et_al_2013,LC?,,,,한양대박물관 1993:195-199,,663.01215456
5,OR5,UCL-237,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,A-2 shell mound 5th layer,,shell,,-25,,3150,200,Bae_et_al_2013,LC?,,,,한양대박물관 1993:195-199,,663.01215456
6,OR6,KCP-156,,고남리 패총,,,Gonamri,,1,,36.42001,126.409866,HK,,,충남,태안,,strat,B-3 shell mound,,shell,,-25,,3130,60,Bae_et_al_2013,LC?,,,,한양대박물관 1994:270-272,,663.01215456
7,OR7,SNU99-128,,오이도 중간살막 패총,,,Junggan-salmak-Oido,,1,,37.34549,126.694897,HK,,,경기,시흥,,strat,N2E1 bottom ground,,charcoal,,-23.5,,4270,60,Bae_et_al_2013,EC,중서부지역 편년상 전기,,,서울대박물관 2001:100,,397.514107401999
8,OR8,SNU00-143,,오이도 중간살막 패총,,,Junggan-salmak-Oido,,1,,37.34549,126.694897,HK,,,경기,시흥,,outdoor hearth,fire place No. 1,,charcoal,,-21,,4790,80,Bae_et_al_2013,EC,,,,서울대박물관 2001:100,,397.514107401999
9,OR9,SNU00-44-1,,대평리 옥방,,,Okbang-Daepyeong,,1,,35.22079,127.95937,HK,,,경남,진주,,,Dongi 1,,charcoal,,,,3280,50,Bae_et_al_2013,LC,,,,,,13645.488386
10,OR10,SNU00-45-2,,대평리 옥방,,,Okbang-Daepyeong,,1,,35.22079,127.95937,HK,,,경남,진주,,,Dongi,,charcoal,,,,4470,40,Bae_et_al_2013,LC,,,,,,13645.488386
12,OR12,SNU00-137,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,house,wall of dwelling,,charcoal,,,,4500,60,Bae_et_al_2013,,,,,,"는들 신석기유적, 서울대학교 인문학연구소 1999 에는 해당연대 없음, 4270±60 according to SO's collection",2003.8249396
13,OR13,SNU00-138,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,house,pillar hole of dwelling,,charcoal,,,,4560,40,Bae_et_al_2013,,,,,,"는들 신석기유적, 서울대학교 인문학연구소 1999 에는 해당연대 없음, 4790±80 according to SO's collection",2003.8249396
14,OR14,SNU00-139,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,house,wall of dwelling,,charcoal,,,,4480,30,Bae_et_al_2013,,,,,,"는들 신석기유적, 서울대학교 인문학연구소 1999 에는 해당연대 없음, 4480±30 according to SO's collection",2003.8249396
21,OR20,SNU00-385,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B2PitⅢ-3a층(DK8, 융대문)",,pottery incrustation,,-21.5,,6480,120,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
22,OR21,SNU00-386,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B4PitⅢ-2b층(DK9, 융대문)",,pottery incrustation,,-29,,6260,250,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
23,OR22,SNU00-387,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"A8~9PitⅢ-6층(DK12, 무문양)",,pottery incrustation,,-23.5,,6260,40,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
24,OR23,SNU00-388,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"A8~9PitⅢ-6층(DK12, 무문양)",,pottery incrustation,,-25.8,,6330,40,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
